dataset_name,split,model_name,structured_encoder,text_input_mode,text_embedding_backend,aligned_dim,n_examples,decision_threshold,loss,auroc,auprc,accuracy,precision,recall,f1,brier_score,specificity,sensitivity,tp,fp,tn,fn
horizon_12h_vitals_labs,val,aligned_transformer_encoder,transformer,frozen_embedding,transformer:emilyalsentzer/Bio_ClinicalBERT,256,5431,0.03642179071903229,4.264142407290912,0.6914030551671372,0.1045472150221842,0.8911802614619775,0.10569105691056911,0.2561576354679803,0.14964028776978416,0.035992092895340784,0.9158377964804897,0.2561576354679803,52,440,4788,151
horizon_12h_vitals_labs,test,aligned_transformer_encoder,transformer,frozen_embedding,transformer:emilyalsentzer/Bio_ClinicalBERT,256,5527,0.03642179071903229,4.901781854475814,0.7058430234398243,0.11661133572062664,0.8965080513841144,0.1464968152866242,0.28870292887029286,0.19436619718309858,0.04146523661241549,0.9239788199697428,0.28870292887029286,69,402,4886,170
