epoch,train_loss,learning_rate,selection_loss,selection_auroc,selection_auprc,selection_precision,selection_recall,selection_f1,decision_threshold
1,4.0953372529551615,0.00029388206453689414,4.659418556964956,0.6442624758557642,0.05682791990050784,0.0,0.0,0.0,0.018441099673509598
2,4.16747160347702,0.00027612712429686835,4.013058855617419,0.6426902103349779,0.05808059451554813,0.0,0.0,0.0,0.03734908252954483
3,4.2392878334470145,0.0002484731565365591,5.527335646152497,0.6555689146743595,0.06232745303289098,0.0,0.0,0.0,0.008942394517362118
4,4.2144234826419025,0.00021362712429686838,4.252313711274415,0.6411624093368383,0.06616339019537654,0.0,0.0,0.0,0.037270206958055496
5,4.22315778930982,0.00017499999999999997,5.153474737107754,0.643210445249944,0.06198308806490707,0.0,0.0,0.0,0.037270206958055496
6,4.14467434749202,0.00013637287570313157,4.490569463712164,0.6668646820075198,0.06653273538160705,0.0,0.0,0.0,0.019203070551156998
7,4.103186346684666,0.00010152684346344086,5.996004578214953,0.6697975619212944,0.06952382309640369,0.0,0.0,0.0,0.014059859327971935
8,4.063254404763746,7.387287570313158e-05,5.19518827112019,0.6750790579212658,0.07057147658460738,0.0,0.0,0.0,0.013591045513749123
9,4.026643339958456,5.611793546310581e-05,5.657119964590762,0.6722964680940371,0.06867545795037198,0.0,0.0,0.0,0.013591045513749123
10,3.976492261917438,5e-05,4.98200457526464,0.6695103211049966,0.07285042994013885,0.0,0.0,0.0,0.031252190470695496
