epoch,train_loss,learning_rate,selection_loss,selection_auroc,selection_auprc,selection_precision,selection_recall,selection_f1,decision_threshold
1,4.213150393621984,0.00029388206453689414,4.636122036493384,0.675008803975484,0.07372678490849247,0.0,0.0,0.0,0.04059435427188873
2,4.156943735488019,0.00027612712429686835,4.013370135379955,0.6797789579650189,0.07840658321544026,0.0,0.0,0.0,0.06751040369272232
3,4.2031795081733225,0.0002484731565365591,4.67901805006247,0.7025910366636668,0.10651624336248283,0.0,0.0,0.0,0.03804977610707283
4,4.224320643789628,0.00021362712429686838,3.7211754206661136,0.702039676582848,0.10563812665908744,0.0,0.0,0.0,0.03804977610707283
5,4.128292859826959,0.00017499999999999997,4.342801753646694,0.7129494918594352,0.10039040677207114,0.0,0.0,0.0,0.03804977610707283
6,4.045311778959918,0.00013637287570313157,4.348418844846077,0.7181642910754369,0.10850583127798583,0.0,0.0,0.0,0.0662902221083641
7,4.035268330824011,0.00010152684346344086,4.534782519841101,0.7184221853067874,0.11767707821168989,0.0,0.0,0.0,0.06281106919050217
8,3.816195068665839,7.387287570313158e-05,4.987189254230354,0.7043162601423576,0.10667919691269948,0.0,0.0,0.0,0.06281106919050217
9,3.843508242112067,5.611793546310581e-05,5.404255969330668,0.7207218904180733,0.11231482429545518,0.2,0.0136986301369863,0.02564102564102564,0.06281106919050217
10,3.665339226185188,5e-05,5.175179015192436,0.7231674391636401,0.11489202042321021,0.2,0.00684931506849315,0.013245033112582781,0.06281106919050217
