dataset_name,split,model_name,structured_encoder,text_input_mode,text_embedding_backend,decision_threshold,n_features,n_aligned_features,n_structured_features,n_note_metadata_features,n_event_features,auroc,auprc,accuracy,precision,recall,f1,brier_score,specificity,sensitivity,tp,fp,tn,fn
horizon_6h_structured_full,val,aligned_transformer_xgboost,transformer,frozen_embedding,transformer:emilyalsentzer/Bio_ClinicalBERT,0.25,707,256,428,14,9,0.9989843250262057,0.9777406883776781,0.9942558746736292,0.934931506849315,0.9512195121951219,0.9430051813471503,0.005276200516317204,0.9965188713814584,0.9512195121951219,273,19,5439,14
horizon_6h_structured_full,test,aligned_transformer_xgboost,transformer,frozen_embedding,transformer:emilyalsentzer/Bio_ClinicalBERT,0.25,707,256,428,14,9,0.9986272379228397,0.9749527712280255,0.9951947829071564,0.9329073482428115,0.9765886287625418,0.954248366013072,0.004753841648460428,0.9962011577424024,0.9765886287625418,292,21,5507,7
