dataset_name,split,model_name,structured_encoder,text_input_mode,text_embedding_backend,decision_threshold,n_features,n_aligned_features,n_structured_features,n_note_metadata_features,n_event_features,auroc,auprc,accuracy,precision,recall,f1,brier_score,specificity,sensitivity,tp,fp,tn,fn
horizon_6h_vitals_labs,val,aligned_transformer_xgboost,transformer,frozen_embedding,transformer:emilyalsentzer/Bio_ClinicalBERT,0.19019754230976105,630,256,360,14,0,0.8394467476057267,0.39719711118391926,0.9495213228894691,0.49372384937238495,0.41114982578397213,0.44866920152091255,0.03782428043553577,0.9778307072187614,0.41114982578397213,118,121,5337,169
horizon_6h_vitals_labs,test,aligned_transformer_xgboost,transformer,frozen_embedding,transformer:emilyalsentzer/Bio_ClinicalBERT,0.19019754230976105,630,256,360,14,0,0.82849125643123,0.3672202948288211,0.942852239574395,0.4356060606060606,0.38461538461538464,0.40852575488454707,0.04003880918071535,0.9730463096960926,0.38461538461538464,115,149,5379,184
