epoch,train_loss,learning_rate,selection_loss,selection_auroc,selection_auprc,selection_precision,selection_recall,selection_f1,decision_threshold
1,3.62101753635614,0.00029388206453689414,5.521325859302067,0.7169414074918636,0.17193959871999231,0.0,0.0,0.0,0.009512406773865223
2,3.709845087706067,0.00027612712429686835,4.5478766198077025,0.7243147864656682,0.16926379262060254,0.46875,0.05226480836236934,0.09404388714733543,0.009512406773865223
3,3.868324090422885,0.0002484731565365591,5.332259580099201,0.7246971807518422,0.1328762843228104,0.0,0.0,0.0,0.009512406773865223
4,3.828777590260974,0.00021362712429686838,4.598825839561862,0.758522157801801,0.20535252998803774,0.3445378151260504,0.14285714285714285,0.2019704433497537,0.05832511931657791
5,3.7019988505998516,0.00017499999999999997,3.990060797725417,0.7546905542865825,0.2144496125969968,0.5483870967741935,0.059233449477351915,0.1069182389937107,0.05926084145903587
6,3.6099374313364803,0.00013637287570313157,5.078342981544558,0.7341625565132791,0.1896561286251391,0.4074074074074074,0.07665505226480836,0.12903225806451613,0.05926084145903587
7,3.6502635635577634,0.00010152684346344086,4.184179092114286,0.7576143703645067,0.2149812444003209,0.46875,0.10452961672473868,0.17094017094017094,0.026338504627346992
8,3.4720605588009805,7.387287570313158e-05,3.839257596813852,0.764467782483405,0.2196135917506624,0.4782608695652174,0.11498257839721254,0.1853932584269663,0.05602402240037918
9,3.3932061398406708,5.611793546310581e-05,4.0878267976826494,0.7704552215652503,0.22224346775426204,0.39805825242718446,0.14285714285714285,0.21025641025641026,0.0706811249256134
10,3.2998439369915147,5e-05,4.42517107199542,0.76870763499029,0.22882993997939763,0.5081967213114754,0.10801393728222997,0.1781609195402299,0.026696473360061646
