epoch,train_loss,learning_rate,selection_loss,selection_auroc,selection_auprc,selection_precision,selection_recall,selection_f1,decision_threshold
1,4.110854968405131,0.00029388206453689414,4.073376965427851,0.6653327478789844,0.06950588782768237,0.0,0.0,0.0,0.04785719886422157
2,4.141174162793206,0.00027612712429686835,4.264142407290912,0.6914030551671372,0.1045472150221842,0.0,0.0,0.0,0.03642179071903229
3,4.101336299084841,0.0002484731565365591,5.4839583321320875,0.6903015592433317,0.08483502939552014,0.0,0.0,0.0,0.03642179071903229
4,4.237415565068024,0.00021362712429686838,4.607872203084337,0.6984115467678774,0.08890204576184368,0.0,0.0,0.0,0.03642179071903229
5,4.176418606845824,0.00017499999999999997,4.749434095952764,0.6896297315327472,0.0958740592399539,0.0,0.0,0.0,0.03642179071903229
6,4.196414030973294,0.00013637287570313157,4.859411920211998,0.7046921464942466,0.10321471861360677,0.0,0.0,0.0,0.03642179071903229
