epoch,train_loss,learning_rate,selection_loss,selection_auroc,selection_auprc,selection_precision,selection_recall,selection_f1,decision_threshold
1,3.4684413887021255,0.00029388206453689414,4.730522109876919,0.7263777366088585,0.15174528450009167,0.5,0.03832752613240418,0.07119741100323625,0.014108963310718536
2,3.4103524110450443,0.00027612712429686835,3.924419386092164,0.7635571223010561,0.20124776019785798,0.36363636363636365,0.1672473867595819,0.22911694510739858,0.04038466885685921
3,3.423442970198535,0.0002484731565365591,3.270722643805147,0.7654461117714879,0.22435061328562184,0.4857142857142857,0.11846689895470383,0.19047619047619047,0.07118650525808334
4,3.3573533845993335,0.00021362712429686838,4.443049756646861,0.7598819237943728,0.20513216724019806,0.4482758620689655,0.09059233449477352,0.15072463768115943,0.07118650525808334
5,3.4360758149626367,0.00017499999999999997,3.9405054612388324,0.7698267287860546,0.22677439400755683,0.42424242424242425,0.14634146341463414,0.21761658031088082,0.05000000074505806
6,3.316852877368053,0.00013637287570313157,3.1204145254608715,0.7727652277831474,0.23824254294926248,0.36619718309859156,0.18118466898954705,0.24242424242424243,0.10743522644042969
7,3.2241891515963723,0.00010152684346344086,5.165892249036558,0.7798232431887214,0.25228128531997396,0.4864864864864865,0.1254355400696864,0.1994459833795014,0.02797592431306839
8,3.1411826907993166,7.387287570313158e-05,4.699119360188507,0.7811817324057133,0.25942413359741784,0.49295774647887325,0.12195121951219512,0.19553072625698323,0.017447087913751602
9,3.143949541981246,5.611793546310581e-05,4.532953149302372,0.7820410023709723,0.26359897777462055,0.43434343434343436,0.14982578397212543,0.22279792746113988,0.0316319614648819
10,3.064223985844555,5e-05,4.850700267325288,0.7859942187601742,0.26525481821874963,0.5068493150684932,0.1289198606271777,0.20555555555555555,0.0163654163479805
