dataset_name,split,model_name,text_embedding_backend,decision_threshold,n_features,n_structured_features,n_text_embedding_features,n_note_metadata_features,n_event_features,auroc,auprc,accuracy,precision,recall,f1,brier_score,specificity,sensitivity,tp,fp,tn,fn,stack_train_examples
horizon_24h_vitals_labs,test,stacked_xgboost_notes,transformer:emilyalsentzer/Bio_ClinicalBERT,0.5,16,360,1536,14,0,0.7871543808780341,0.3573272482053931,0.7961672473867596,0.12988505747126436,0.6457142857142857,0.21626794258373205,0.18418012624590946,0.8030184751496227,0.6457142857142857,113,757,3086,62,3997.0
horizon_24h_vitals_labs,test,xgboost_text_augmented,transformer:emilyalsentzer/Bio_ClinicalBERT,0.09730266034603119,1910,360,1536,14,0,0.7936403851157949,0.2914617542548093,0.9569437531110006,0.515625,0.18857142857142858,0.27615062761506276,0.038375223934361435,0.9919333853760083,0.18857142857142858,33,31,3812,142,
horizon_24h_vitals_labs,val,xgboost_text_augmented,transformer:emilyalsentzer/Bio_ClinicalBERT,0.09730266034603119,1910,360,1536,14,0,0.7572788423572601,0.20278330892637775,0.9614711033274956,0.43103448275862066,0.17123287671232876,0.24509803921568626,0.03330425161857923,0.9914307971955336,0.17123287671232876,25,33,3818,121,
