dataset_name,split,model_name,text_embedding_backend,decision_threshold,n_features,n_structured_features,n_text_embedding_features,n_note_metadata_features,n_event_features,auroc,auprc,accuracy,precision,recall,f1,brier_score,specificity,sensitivity,tp,fp,tn,fn,stack_train_examples
horizon_12h_vitals_labs,test,stacked_xgboost_notes,transformer:emilyalsentzer/Bio_ClinicalBERT,0.5,16,360,1536,14,0,0.777796415979339,0.3727744417875034,0.8094807309571196,0.13464991023339318,0.6276150627615062,0.22172949002217296,0.17057235081877858,0.8177004538577912,0.6276150627615062,150,964,4324,89,5431.0
horizon_12h_vitals_labs,test,xgboost_text_augmented,transformer:emilyalsentzer/Bio_ClinicalBERT,0.07243598997592926,1910,360,1536,14,0,0.81101325176131,0.3825455799742624,0.9549484349556722,0.47058823529411764,0.33472803347280333,0.39119804400978,0.035496653351310324,0.9829803328290468,0.33472803347280333,80,90,5198,159,
horizon_12h_vitals_labs,val,xgboost_text_augmented,transformer:emilyalsentzer/Bio_ClinicalBERT,0.07243598997592926,1910,360,1536,14,0,0.7891940328884633,0.2958405312208877,0.9539679617013441,0.36257309941520466,0.3054187192118227,0.3315508021390374,0.03196640493056784,0.9791507268553941,0.3054187192118227,62,109,5119,141,
