dataset_name,split,model_name,text_embedding_backend,decision_threshold,n_features,n_structured_features,n_text_embedding_features,n_note_metadata_features,n_event_features,auroc,auprc,accuracy,precision,recall,f1,brier_score,specificity,sensitivity,tp,fp,tn,fn,stack_train_examples
horizon_6h_structured_full,test,stacked_xgboost_notes,transformer:emilyalsentzer/Bio_ClinicalBERT,0.5,25,428,1536,14,9,0.9957474020976821,0.964092928200096,0.9948515531148103,0.9216300940438872,0.9832775919732442,0.9514563106796117,0.005622194933960307,0.9954775687409552,0.9832775919732442,294,25,5503,5,5745.0
horizon_6h_structured_full,test,xgboost_text_augmented,transformer:emilyalsentzer/Bio_ClinicalBERT,0.14928120374679565,1987,428,1536,14,9,0.9990707084396131,0.9803387846219497,0.9945083233224644,0.9158878504672897,0.9832775919732442,0.9483870967741935,0.004062083358024041,0.9951157742402316,0.9832775919732442,294,27,5501,5,
horizon_6h_structured_full,val,xgboost_text_augmented,transformer:emilyalsentzer/Bio_ClinicalBERT,0.14928120374679565,1987,428,1536,14,9,0.999183502016667,0.983004939908524,0.9953002610966057,0.9333333333333333,0.975609756097561,0.9540034071550255,0.004601380923345277,0.9963356540857456,0.975609756097561,280,20,5438,7,
