phrase,pseudo_attention_score
with,0.2696863479161697
plan,0.08708146897541144
assessment,0.08374710679376725
this,0.08310333188744629
response,0.08281083191666191
______________________________________________________________________________,0.080120932067827
action,0.0798600537155058
right,0.07934242156979338
reason,0.07796378774744776
chest,0.07628371740996948
