fusion_strategy,epoch,train_loss,learning_rate,selection_loss,selection_auroc,selection_auprc,selection_precision,selection_recall,selection_f1,decision_threshold
early_fusion,1,5.500599652566465,0.0002984610425743922,0.27734966370190556,0.7183803335703881,0.1345096424686314,0.0,0.0,0.0,0.007459757849574089
early_fusion,2,5.74645713383748,0.00029388206453689414,0.330093310097556,0.7448913017110069,0.19227898500861135,0.0,0.0,0.0,0.0041098278015851974
early_fusion,3,5.717890803336937,0.00028637581552354595,0.37589706112771676,0.7679211412330843,0.2120181084508983,0.0,0.0,0.0,0.0010898312320932746
early_fusion,4,5.710251653326607,0.0002761271242968684,0.30228150274709586,0.7603275184717508,0.22251563443079495,0.0,0.0,0.0,0.0039856755174696445
early_fusion,5,5.566407416453491,0.0002633883476483184,0.28851656520129587,0.7672961595867333,0.2386805995036711,0.5384615384615384,0.04878048780487805,0.08945686900958466,0.00444087665528059
early_fusion,6,5.4860973488091185,0.00024847315653655914,0.30735909696763203,0.7699358930981344,0.23520092357251,0.5384615384615384,0.024390243902439025,0.04666666666666667,0.00444087665528059
early_fusion,7,5.197539022893211,0.00023174881246744333,0.36593233944148373,0.7672907332905188,0.2304477845474106,0.6,0.07317073170731707,0.13043478260869565,0.00444087665528059
early_fusion,8,5.124033439945238,0.00021362712429686843,0.3256606712009525,0.7773188478887878,0.24786391316009215,0.5813953488372093,0.08710801393728224,0.15151515151515152,0.0035875444300472736
early_fusion,9,4.9554091076089755,0.00019455430813002886,0.32764183623782756,0.7742264974343194,0.2544561069605191,0.6486486486486487,0.08362369337979095,0.14814814814814814,0.005273581016808748
early_fusion,10,4.890150718782776,0.000175,0.31076021058292735,0.7787651154268962,0.2508493754302928,0.6046511627906976,0.09059233449477352,0.15757575757575756,0.005273581016808748
early_fusion,11,4.6723977754596,0.00015544569186997119,0.27923295353062627,0.7784063414889503,0.2760018018482502,0.6440677966101694,0.13240418118466898,0.21965317919075145,0.015637176111340523
early_fusion,12,4.606241573027736,0.0001363728757031316,0.3308254888520482,0.7824773404253962,0.2666315096012115,0.7666666666666667,0.08013937282229965,0.14511041009463724,0.015637176111340523
early_fusion,13,4.6063972535062785,0.00011825118753255667,0.30208267207414113,0.7846539235951957,0.27254659944495835,0.6296296296296297,0.11846689895470383,0.19941348973607037,0.015637176111340523
early_fusion,14,4.474972153763321,0.00010152684346344089,0.3030924612909908,0.7785119946681851,0.272500719787892,0.68,0.11846689895470383,0.20178041543026706,0.015637176111340523
early_fusion,15,4.300470523024701,8.661165235168157e-05,0.3512763172597382,0.7780325654379404,0.26491000614099797,0.6363636363636364,0.12195121951219512,0.2046783625730994,0.015637176111340523
