dataset_name,split,model_name,structured_encoder,text_embedding_backend,device,n_features,n_examples,loss,auroc,auprc,precision,recall,f1,brier_score,specificity,sensitivity,tp,fp,tn,fn
horizon_24h,val,early_fusion,gru,transformer:emilyalsentzer/Bio_ClinicalBERT,cuda,75,3997,0.16198131869360805,0.7408696549197326,0.12768051720349755,0.23728813559322035,0.0958904109589041,0.13658536585365855,0.039231881945325835,0.988314723448455,0.0958904109589041,14,45,3806,132
horizon_24h,test,early_fusion,gru,transformer:emilyalsentzer/Bio_ClinicalBERT,cuda,75,4018,0.1749591493594741,0.7544998327199733,0.17508612660222425,0.36486486486486486,0.15428571428571428,0.21686746987951808,0.04344336753244193,0.9877699713765288,0.15428571428571428,27,47,3796,148
horizon_24h,val,late_fusion,gru,transformer:emilyalsentzer/Bio_ClinicalBERT,cuda,75,3997,0.17556282193958758,0.7348456013915616,0.15000616511700351,0.24786324786324787,0.19863013698630136,0.22053231939163498,0.04473182381853537,0.9771487925214231,0.19863013698630136,29,88,3763,117
horizon_24h,test,late_fusion,gru,transformer:emilyalsentzer/Bio_ClinicalBERT,cuda,75,4018,0.18593058174860383,0.7591732649343892,0.18551140914809483,0.2426470588235294,0.18857142857142858,0.21221864951768488,0.04934266459144383,0.9731980223783503,0.18857142857142858,33,103,3740,142
horizon_24h,val,gated_fusion,gru,transformer:emilyalsentzer/Bio_ClinicalBERT,cuda,75,3997,0.16616808693110943,0.7099863760702609,0.12134758088965308,0.2153846153846154,0.0958904109589041,0.13270142180094788,0.040482104030569066,0.9867566865749156,0.0958904109589041,14,51,3800,132
horizon_24h,test,gated_fusion,gru,transformer:emilyalsentzer/Bio_ClinicalBERT,cuda,75,4018,0.18065458001007165,0.7353674584587934,0.15877612224621662,0.2682926829268293,0.12571428571428572,0.17120622568093385,0.04624629466055875,0.9843871975019516,0.12571428571428572,22,60,3783,153
horizon_24h,val,cross_modal_attention,gru,transformer:emilyalsentzer/Bio_ClinicalBERT,cuda,75,3997,0.20644037762284279,0.5973381758162797,0.059843777090643965,0.0,0.0,0.0,0.045009575340746524,1.0,0.0,0,0,3851,146
horizon_24h,test,cross_modal_attention,gru,transformer:emilyalsentzer/Bio_ClinicalBERT,cuda,75,4018,0.22103400058334782,0.6020586595293855,0.06844193178397903,0.0,0.0,0.0,0.050123925828235535,1.0,0.0,0,0,3843,175
