dataset_name,structured_encoder,fusion_strategy,text_embedding_backend,text_embedding_dim,n_train,n_val,n_test,device
horizon_24h,gru,early_fusion,transformer:emilyalsentzer/Bio_ClinicalBERT,768,18359,3997,4018,cuda
horizon_24h,gru,late_fusion,transformer:emilyalsentzer/Bio_ClinicalBERT,768,18359,3997,4018,cuda
horizon_24h,gru,gated_fusion,transformer:emilyalsentzer/Bio_ClinicalBERT,768,18359,3997,4018,cuda
horizon_24h,gru,cross_modal_attention,transformer:emilyalsentzer/Bio_ClinicalBERT,768,18359,3997,4018,cuda
