dataset_name,split,model_name,structured_encoder,text_embedding_backend,device,n_features,n_summary_features,n_examples,loss,decision_threshold,auroc,auprc,accuracy,precision,recall,f1,brier_score,specificity,sensitivity,tp,fp,tn,fn
horizon_6h,val,early_fusion,transformer,finetune:emilyalsentzer/Bio_ClinicalBERT,cuda,75,375,5745,0.27923295353062627,0.015637176111340523,0.7784063414889503,0.2760018018482502,0.9449956483899042,0.4161849710982659,0.2508710801393728,0.3130434782608696,0.045515307687152985,0.9814950531330158,0.2508710801393728,72,101,5357,215
horizon_6h,test,early_fusion,transformer,finetune:emilyalsentzer/Bio_ClinicalBERT,cuda,75,375,5827,0.30653888802467444,0.015637176111340523,0.7784876868868248,0.24303238222138607,0.9426806246782221,0.3825503355704698,0.19063545150501673,0.2544642857142857,0.04968441499635142,0.983357452966715,0.19063545150501673,57,92,5436,242
horizon_6h,val,late_fusion,transformer,finetune:emilyalsentzer/Bio_ClinicalBERT,cuda,75,375,5745,0.2902492732340358,0.006225453689694405,0.7830087982605209,0.26478062461303886,0.929852045256745,0.3116883116883117,0.3344947735191638,0.3226890756302521,0.04733589438533201,0.9611579333089043,0.3344947735191638,96,212,5246,191
horizon_6h,test,late_fusion,transformer,finetune:emilyalsentzer/Bio_ClinicalBERT,cuda,75,375,5827,0.311692406946913,0.006225453689694405,0.7779223073535035,0.22732062133447045,0.9260339797494422,0.28431372549019607,0.2909698996655518,0.28760330578512394,0.050641913927871963,0.960383502170767,0.2909698996655518,87,219,5309,212
horizon_6h,val,gated_fusion,transformer,finetune:emilyalsentzer/Bio_ClinicalBERT,cuda,75,375,5745,0.22304582839102016,0.012630941346287727,0.6483798356279118,0.19179476001412216,0.9413402959094865,0.3641304347826087,0.23344947735191637,0.28450106157112526,0.046341735099170236,0.9785635764016123,0.23344947735191637,67,117,5341,220
horizon_6h,test,gated_fusion,transformer,finetune:emilyalsentzer/Bio_ClinicalBERT,cuda,75,375,5827,0.2400919729426654,0.012630941346287727,0.6196326757304862,0.13061811465447737,0.9365024884159945,0.2795031055900621,0.1505016722408027,0.1956521739130435,0.0501017302537533,0.9790159189580319,0.1505016722408027,45,116,5412,254
horizon_6h,val,cross_modal_attention,transformer,finetune:emilyalsentzer/Bio_ClinicalBERT,cuda,75,375,5745,0.26787674570124065,0.008085886016488075,0.7835543006270246,0.28009503099551547,0.9239338555265448,0.2905027932960894,0.3623693379790941,0.32248062015503876,0.04518063716997888,0.9534628068889703,0.3623693379790941,104,254,5204,183
horizon_6h,test,cross_modal_attention,transformer,finetune:emilyalsentzer/Bio_ClinicalBERT,cuda,75,375,5827,0.2809435062039934,0.008085886016488075,0.7968838482350722,0.277120650397787,0.9205423030719067,0.2807486631016043,0.3511705685618729,0.31203566121842496,0.048719777043576815,0.9513386396526773,0.3511705685618729,105,269,5259,194
