fusion_strategy,epoch,train_loss,learning_rate,selection_loss,selection_auroc,selection_auprc,selection_precision,selection_recall,selection_f1,decision_threshold
early_fusion,1,6.2362751323023655,0.0002984610425743922,0.22767808808273765,0.6854526310547341,0.08589055771333036,0.0,0.0,0.0,0.003724421374499798
early_fusion,2,6.3749434496322746,0.00029388206453689414,0.2982454842600362,0.6808621137366917,0.10063969097133502,0.0,0.0,0.0,0.00095102668274194
early_fusion,3,6.63003584819162,0.00028637581552354595,0.23689856739149145,0.6951610149294082,0.07974871534563223,0.0,0.0,0.0,0.00095102668274194
early_fusion,4,6.73154152440869,0.0002761271242968684,0.2838580668002382,0.7043393816941339,0.1087315286770434,0.0,0.0,0.0,0.0013339415891095996
early_fusion,5,6.624661615861007,0.0002633883476483184,0.2669240468260406,0.7091824575008092,0.09972705700438256,0.0,0.0,0.0,0.0013339415891095996
early_fusion,6,6.593487985954825,0.00024847315653655914,0.2503920578252917,0.6949057885694161,0.10909040322715997,0.0,0.0,0.0,0.0030955399852246046
early_fusion,7,6.472046282114806,0.00023174881246744333,0.22438958097899658,0.6997630930233385,0.09254097020337043,0.0,0.0,0.0,0.0030955399852246046
early_fusion,8,6.438342073507818,0.00021362712429686843,0.2392430790905478,0.7050508140564806,0.10356705832495813,0.0,0.0,0.0,0.0030955399852246046
early_fusion,9,6.124793025143526,0.00019455430813002886,0.2459805055282425,0.7184577569249048,0.0957532019693934,0.0,0.0,0.0,0.0030955399852246046
early_fusion,10,6.358221959243153,0.000175,0.260422889651985,0.7149112665986064,0.11331628607617779,0.0,0.0,0.0,0.0017741741612553596
early_fusion,11,6.089132803155835,0.00015544569186997119,0.22757283325729638,0.7134635017412306,0.12152001517860511,0.0,0.0,0.0,0.005195964593440294
early_fusion,12,6.147959190827829,0.0001363728757031316,0.23513770653582503,0.7027288766838713,0.11171672090653142,0.0,0.0,0.0,0.005195964593440294
early_fusion,13,5.824636321464525,0.00011825118753255667,0.2912027735660051,0.6912988264923183,0.11632971524103333,0.25,0.00684931506849315,0.013333333333333334,0.005195964593440294
early_fusion,14,5.746054500860846,0.00010152684346344089,0.25150376040974876,0.7070837320318863,0.11327183886987807,0.375,0.02054794520547945,0.03896103896103896,0.005195964593440294
early_fusion,15,5.676196725422343,8.661165235168157e-05,0.31131109791906136,0.6971770363862081,0.11554704110238975,0.25,0.0136986301369863,0.025974025974025976,0.005195964593440294
early_fusion,16,5.394551091916661,7.387287570313159e-05,0.27084204612156887,0.6923535249694973,0.1123302150369829,0.47058823529411764,0.0547945205479452,0.09815950920245399,0.005195964593440294
late_fusion,1,5.622581330071607,0.0002984610425743922,0.2329305805761615,0.6718322584776059,0.09443975153857125,0.0,0.0,0.0,0.004167789593338966
late_fusion,2,5.730964488102719,0.00029388206453689414,0.2421590714170791,0.6979204832048606,0.10932801306474335,0.0,0.0,0.0,0.0028673033230006695
late_fusion,3,5.844390098864217,0.00028637581552354595,0.2268360781633836,0.6921543239080403,0.0836995567319766,0.0,0.0,0.0,0.0028673033230006695
late_fusion,4,5.8834502550122005,0.0002761271242968684,0.241518397817855,0.6935149383010284,0.1021858220697148,0.0,0.0,0.0,0.0028673033230006695
late_fusion,5,5.994640702372802,0.0002633883476483184,0.20850892771238563,0.6982192847970461,0.09643571878008145,0.0,0.0,0.0,0.0028673033230006695
late_fusion,6,5.907919468274563,0.00024847315653655914,0.23990203578094055,0.712097551605525,0.10597840843615866,0.0,0.0,0.0,0.0028673033230006695
late_fusion,7,5.690438181570932,0.00023174881246744333,0.23477942959077958,0.706580393635526,0.12615021002086674,0.0,0.0,0.0,0.005552475806325674
late_fusion,8,5.557756424852705,0.00021362712429686843,0.24431306511357523,0.7030463533755688,0.09990549874152786,0.0,0.0,0.0,0.005552475806325674
late_fusion,9,5.53074745561822,0.00019455430813002886,0.24780223231246437,0.7066942228135015,0.10923155772747507,0.0,0.0,0.0,0.005552475806325674
late_fusion,10,5.324480314387215,0.000175,0.25390352029213614,0.7054545519221125,0.12259416835840976,0.0,0.0,0.0,0.005552475806325674
late_fusion,11,5.2572194166724975,0.00015544569186997119,0.24920499781002217,0.6887590129587404,0.1102434650826768,0.0,0.0,0.0,0.005552475806325674
late_fusion,12,5.242571453120324,0.0001363728757031316,0.2612615811967921,0.7044656609384504,0.10623705303103372,0.0,0.0,0.0,0.005552475806325674
gated_fusion,1,4.845271872730686,0.0002984610425743922,0.17678432562400126,0.5867591765881838,0.0604118022714879,0.0,0.0,0.0,0.011134611442685127
gated_fusion,2,4.853827349033231,0.00029388206453689414,0.21796617989781022,0.48035379531379496,0.03543542737106557,0.0,0.0,0.0,0.011134611442685127
gated_fusion,3,4.912919157886297,0.00028637581552354595,0.19697776122233937,0.5297085261611466,0.04055547459452639,0.0,0.0,0.0,0.011134611442685127
gated_fusion,4,4.90427792274874,0.0002761271242968684,0.18271097807719625,0.5151641808034206,0.03751140585225089,0.0,0.0,0.0,0.011134611442685127
gated_fusion,5,4.9070162126960835,0.0002633883476483184,0.1811193184234787,0.5132993387236192,0.03696047220203633,0.0,0.0,0.0,0.011134611442685127
gated_fusion,6,4.911585775829349,0.00024847315653655914,0.20395191279931804,0.5004855525873017,0.03551186467872221,0.0,0.0,0.0,0.011134611442685127
cross_modal_attention,1,6.299849297064062,0.0002984610425743922,0.23967068847744033,0.6710710258498949,0.06243343743411682,0.0,0.0,0.0,0.0022987723350524902
cross_modal_attention,2,6.416738419296435,0.00029388206453689414,0.19893679528191066,0.6897888113032373,0.08755982407980978,0.0,0.0,0.0,0.009935015812516212
