fusion_strategy,epoch,train_loss,selection_loss,selection_auroc,selection_auprc,selection_precision,selection_recall,selection_f1
early_fusion,1,2.5000089182184184,0.16668521925807,0.6475955364733587,0.09606749916448175,0.3076923076923077,0.0273972602739726,0.050314465408805034
early_fusion,2,2.4144317643385937,0.2125215010344982,0.6679407234555693,0.10260992476420047,0.3,0.06164383561643835,0.10227272727272728
early_fusion,3,2.1849607910039324,0.15673840910196304,0.693386880475806,0.09558982391034117,0.20512820512820512,0.0547945205479452,0.08648648648648649
early_fusion,4,2.227749690043542,0.169181012570858,0.7280869939492678,0.10319489724588374,0.15789473684210525,0.0821917808219178,0.10810810810810811
early_fusion,5,2.155256762844267,0.1635388020426035,0.7236476560082241,0.11024017923860871,0.1527777777777778,0.07534246575342465,0.10091743119266056
early_fusion,6,2.1571059174225615,0.1563229639418423,0.7399127783923762,0.11723582308509486,0.2,0.06164383561643835,0.09424083769633508
early_fusion,7,2.0873448555081926,0.16309208253026009,0.7442133870227623,0.117602932953808,0.19117647058823528,0.08904109589041095,0.12149532710280374
early_fusion,8,2.035473847586519,0.16198131869360805,0.7408696549197326,0.12768051720349755,0.23728813559322035,0.0958904109589041,0.13658536585365855
early_fusion,9,1.8616070800902198,0.20132358614355325,0.7138832468350153,0.10045060748179865,0.16666666666666666,0.136986301369863,0.15037593984962405
early_fusion,10,1.8234709224903807,0.17317267477698625,0.7163999388168167,0.12754642249439518,0.2545454545454545,0.0958904109589041,0.13930348258706468
late_fusion,1,2.088124750876468,0.22904719808697702,0.6427026604013191,0.08757426422095378,0.22857142857142856,0.0547945205479452,0.08839779005524862
late_fusion,2,1.809385048348833,0.22206159898638725,0.6831973904660948,0.10449567466948301,0.21818181818181817,0.0821917808219178,0.11940298507462686
late_fusion,3,1.7915854200668866,0.2293254671692848,0.6896820964488853,0.08399233377376746,0.1487603305785124,0.1232876712328767,0.1348314606741573
late_fusion,4,1.741071380298416,0.19230063503980638,0.707290047416967,0.11395071932066442,0.23880597014925373,0.1095890410958904,0.15023474178403756
late_fusion,5,1.7195606261803298,0.20694822937250137,0.7113398761396257,0.13044815886202923,0.19166666666666668,0.15753424657534246,0.17293233082706766
late_fusion,6,1.6821586205283316,0.21259956219792367,0.7210082419439179,0.12622257095574355,0.16783216783216784,0.1643835616438356,0.16608996539792387
late_fusion,7,1.6348283827557952,0.19345691421627997,0.7192563397516389,0.13238923341645006,0.21739130434782608,0.17123287671232876,0.19157088122605365
late_fusion,8,1.6308476532215597,0.16508919255435467,0.7244995962621343,0.14088139682460224,0.2638888888888889,0.13013698630136986,0.1743119266055046
late_fusion,9,1.514787414664474,0.17556282193958758,0.7348456013915616,0.15000616511700351,0.24786324786324787,0.19863013698630136,0.22053231939163498
late_fusion,10,1.5430338461315487,0.1755986592024565,0.7311354816219234,0.1423738786819806,0.20353982300884957,0.15753424657534246,0.1776061776061776
gated_fusion,1,2.033706743912674,0.266033294737339,0.6553963923264905,0.0939605427081698,0.15476190476190477,0.08904109589041095,0.11304347826086956
gated_fusion,2,1.9313373978214032,0.1647178719341755,0.664645013036998,0.10910841847681355,0.2708333333333333,0.08904109589041095,0.13402061855670103
gated_fusion,3,1.929939561617603,0.18418165296316147,0.6896376319262386,0.09770114865313514,0.18604651162790697,0.1095890410958904,0.13793103448275862
gated_fusion,4,1.9105224492229547,0.17703481379151345,0.6982850922905632,0.10252406863748356,0.21212121212121213,0.0958904109589041,0.1320754716981132
gated_fusion,5,1.8781585943193957,0.17523771527409554,0.7153505760823554,0.11372527336349512,0.21052631578947367,0.1095890410958904,0.14414414414414414
gated_fusion,6,1.8052955393384142,0.16616808693110943,0.7099863760702609,0.12134758088965308,0.2153846153846154,0.0958904109589041,0.13270142180094788
gated_fusion,7,1.777135767482338,0.16182097293436526,0.7158076713751631,0.1112008426852177,0.22807017543859648,0.08904109589041095,0.12807881773399016
gated_fusion,8,1.7283539701097415,0.16198941887542606,0.7261501193427788,0.12025599859648256,0.2777777777777778,0.10273972602739725,0.15
gated_fusion,9,1.6761919780721959,0.1788761452957988,0.7203341597805942,0.11039304505151011,0.18604651162790697,0.1095890410958904,0.13793103448275862
gated_fusion,10,1.5349149505132387,0.18762124099954963,0.7089761421157287,0.11799214695115653,0.2318840579710145,0.1095890410958904,0.14883720930232558
cross_modal_attention,1,2.4989252271818625,0.18045943485200405,0.5075278436840813,0.036629443176893615,0.0,0.0,0.0
cross_modal_attention,2,2.3688563143360697,0.1897250369489193,0.5212549311155615,0.03911495173743028,0.0,0.0,0.0
cross_modal_attention,3,2.655859117178759,0.21696382597833871,0.47011717291007843,0.034918029377755073,0.0,0.0,0.0
cross_modal_attention,4,3.3468527601876064,0.16542011988162994,0.5003557161811734,0.036901897102934955,0.0,0.0,0.0
cross_modal_attention,5,3.1669020345110046,0.17848271968960763,0.5612454334935242,0.0451733542332687,0.0,0.0,0.0
cross_modal_attention,6,2.484996135044804,0.20644037762284279,0.5973381758162797,0.059843777090643965,0.0,0.0,0.0
cross_modal_attention,7,2.36203982311103,0.20904094886779784,0.4995944835534623,0.03603115126726074,0.0,0.0,0.0
cross_modal_attention,8,2.9973596661312683,0.18889989924058317,0.5256489152435055,0.037829470217410614,0.0,0.0,0.0
cross_modal_attention,9,2.3495411593142497,0.20403011652827263,0.5666487622855476,0.04929398054534326,0.0,0.0,0.0
cross_modal_attention,10,2.596825856887427,0.16499650362879037,0.5089195832429221,0.03715068349153791,0.0,0.0,0.0
