precision,recall,threshold
0.04355400696864112,1.0,3.936051143682562e-06
0.04356484939009211,1.0,4.871785677096341e-06
0.04357569721115538,1.0,4.875912964052986e-06
0.043586550435865505,1.0,5.180520020076074e-06
0.04359740906826109,1.0,5.440518634713953e-06
0.04360827311238475,1.0,5.518831585504813e-06
0.04361914257228315,1.0,5.555981715588132e-06
0.04363001745200698,1.0,5.589234206127003e-06
0.043640897755610975,1.0,5.623945980914868e-06
0.04365178348715391,1.0,5.788942871731706e-06
0.043662674650698605,1.0,5.82106849833508e-06
0.04367357125031195,1.0,6.015001872583525e-06
0.043684473290064904,1.0,6.03902753937291e-06
0.04369538077403246,1.0,6.048243903933326e-06
0.043706293706293704,1.0,6.440039214794524e-06
0.0437172120909318,1.0,6.452235538745299e-06
0.043728135932033986,1.0,6.456390110542998e-06
0.04373906523369158,1.0,6.558319000760093e-06
0.04375,1.0,6.558338100148831e-06
0.04376094023505876,1.0,6.64140634398791e-06
0.04377188594297149,1.0,6.682295406790217e-06
0.043782837127845885,1.0,6.688460416626185e-06
0.04379379379379379,1.0,6.6973389039048925e-06
0.04380475594493116,1.0,6.75234559821547e-06
0.043815723585378066,1.0,7.041684966679895e-06
0.0438266967192587,1.0,7.070862920954824e-06
0.043837675350701405,1.0,7.097238267306238e-06
0.043848659483838634,1.0,7.182828539953334e-06
0.043859649122807015,1.0,7.261809059855295e-06
0.043870644271747306,1.0,7.382822786894394e-06
0.04388164493480441,1.0,7.423467650369275e-06
0.04389265111612741,1.0,7.509905572078423e-06
0.04390366281986954,1.0,7.525248292949982e-06
0.043914680050188205,1.0,7.53302401790279e-06
0.04392570281124498,1.0,7.561959137092344e-06
0.043936731107205626,1.0,7.612434728798689e-06
0.04394776494224008,1.0,7.65728600526927e-06
0.04395880432052248,1.0,7.695001841057092e-06
0.04396984924623116,1.0,7.710170393693261e-06
0.04398089972354863,1.0,7.729252502031159e-06
0.04399195575666164,1.0,7.743728929199278e-06
0.04400301734976113,1.0,7.811015166225843e-06
0.04401408450704225,1.0,7.827412446204107e-06
0.0440251572327044,1.0,7.84278290666407e-06
0.044036235530951186,1.0,7.957419256854337e-06
0.04404731940599044,1.0,7.982813258422539e-06
0.04405840886203424,1.0,8.056564183789305e-06
0.04406950390329892,1.0,8.157527190633118e-06
0.04408060453400504,1.0,8.187970706785563e-06
0.04409171075837742,1.0,8.229892955569085e-06
0.044102822580645164,1.0,8.272636478068307e-06
0.044113940005041596,1.0,8.274080755654722e-06
0.04412506303580434,1.0,8.317434549098834e-06
0.044136191677175286,1.0,8.49073057906935e-06
0.04414732593340061,1.0,8.527092177246232e-06
0.04415846580873076,1.0,8.66210029926151e-06
0.044169611307420496,1.0,8.699162208358757e-06
0.04418076243372886,1.0,8.729904038773384e-06
0.04419191919191919,1.0,8.803182026895229e-06
0.04420308158625916,1.0,8.838908797770273e-06
0.04421424962102072,1.0,8.863853508955799e-06
0.04422542330048016,1.0,8.910986252885778e-06
0.0442366026289181,1.0,8.9946661319118e-06
0.04424778761061947,1.0,8.996897122415248e-06
0.04425897824987354,1.0,9.038571988639887e-06
0.04427017455097394,1.0,9.039365068019832e-06
0.044281376518218625,1.0,9.04115859157173e-06
0.0442925841559099,1.0,9.057936040335337e-06
0.04430379746835443,1.0,9.065557605936192e-06
0.04431501645986326,1.0,9.102019248530269e-06
0.044326241134751775,1.0,9.164785296889022e-06
0.04433747149733975,1.0,9.195637176162563e-06
0.04434870755195134,1.0,9.20230468182126e-06
0.044359949302915085,1.0,9.211647011397872e-06
0.04437119675456389,1.0,9.218923878506756e-06
0.0443824499112351,1.0,9.244631655747073e-06
0.04439370877727042,1.0,9.251087249140255e-06
0.04440497335701599,1.0,9.276689524995165e-06
0.044416243654822336,1.0,9.344820682599677e-06
0.04442751967504443,1.0,9.403115655004513e-06
0.044438801422041645,1.0,9.43513987294864e-06
0.0444500889001778,1.0,9.44415933190612e-06
0.04446138211382114,1.0,9.458427484787537e-06
0.044472681067344345,1.0,9.519764716969805e-06
0.04448398576512456,1.0,9.520309504296163e-06
0.04449529621154335,1.0,9.528193004371133e-06
0.04450661241098677,1.0,9.542106454318857e-06
0.04451793436784533,1.0,9.611728273739573e-06
0.044529262086514,1.0,9.61937530519208e-06
0.044540595571392214,1.0,9.738140761328395e-06
0.04455193482688391,1.0,9.804039109440056e-06
0.044563279857397504,1.0,9.822298125072848e-06
0.0445746306673459,1.0,9.82277560979128e-06
0.044585987261146494,1.0,9.862094884738326e-06
0.0445973496432212,1.0,9.944999874278436e-06
0.044608717817996434,1.0,9.956131179933436e-06
0.04462009178990311,1.0,9.9684248198173e-06
0.04463147156337669,1.0,9.972303814720362e-06
0.044642857142857144,1.0,9.981476978282444e-06
0.04465424853278898,1.0,9.984370990423486e-06
0.04466564573762124,1.0,1.0016415217251051e-05
0.0446770487618075,1.0,1.0029586519522128e-05
0.04468845760980592,1.0,1.0044816008303314e-05
0.04469987228607918,1.0,1.005012381938286e-05
0.04471129279509453,1.0,1.0097361155203544e-05
0.044722719141323794,1.0,1.0104297871293966e-05
0.044734151329243355,1.0,1.0115963959833609e-05
0.044745589363334184,1.0,1.0131362614629325e-05
0.04475703324808184,1.0,1.0139046935364604e-05
0.04476848298797646,1.0,1.0147752618649974e-05
0.044779938587512794,1.0,1.0149437002837658e-05
0.04479140005119017,1.0,1.0151848073292058e-05
0.044802867383512544,1.0,1.015517864288995e-05
0.04481434058898848,1.0,1.0197111805609891e-05
0.044825819672131145,1.0,1.021525440592086e-05
0.044837304637458365,1.0,1.0236435628030447e-05
0.04484879548949257,1.0,1.0252263564325403e-05
0.04486029223276083,1.0,1.0261545867251698e-05
0.04487179487179487,1.0,1.033227817970328e-05
0.04488330341113106,1.0,1.0358521649322938e-05
0.044894817855310416,1.0,1.040743609337369e-05
0.04490633820887863,1.0,1.04212913356605e-05
0.04491786447638604,1.0,1.0429891517560463e-05
0.044929396662387676,1.0,1.045649332809262e-05
0.044940934771443244,1.0,1.0459275472385343e-05
0.04495247880811713,1.0,1.0485481652722228e-05
0.044964028776978415,1.0,1.05243516372866e-05
0.04497558468260087,1.0,1.052528568834532e-05
0.04498714652956298,1.0,1.0559811016719324e-05
0.04499871432244793,1.0,1.056628843798535e-05
0.045010288065843625,1.0,1.05881172203226e-05
0.04502186776434268,1.0,1.0599220331641844e-05
0.04503345342254246,1.0,1.0681045750970952e-05
0.04504504504504504,1.0,1.0703243788157124e-05
0.04505664263645726,1.0,1.0732067494245712e-05
0.045068246201390674,1.0,1.0738394848885946e-05
0.04507985574446162,1.0,1.0778881005535368e-05
0.045091471270291165,1.0,1.0825206118170172e-05
0.045103092783505154,1.0,1.084129235096043e-05
