fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0041841004184100415,0.9995016
0.0,0.28870292887029286,0.9933969
0.00018910741301059002,0.28870292887029286,0.99335563
0.00018910741301059002,0.3389121338912134,0.99248874
0.00037821482602118004,0.3389121338912134,0.99235815
0.00037821482602118004,0.3514644351464435,0.99227726
0.0005673222390317701,0.3514644351464435,0.99219126
0.0005673222390317701,0.38493723849372385,0.98987
0.0007564296520423601,0.38493723849372385,0.989858
0.0007564296520423601,0.40585774058577406,0.98919404
0.0009455370650529501,0.40585774058577406,0.98903835
0.0009455370650529501,0.42677824267782427,0.98791087
0.0011346444780635401,0.42677824267782427,0.98760986
0.0011346444780635401,0.4560669456066946,0.98668253
0.00132375189107413,0.4560669456066946,0.9866332
0.00132375189107413,0.6820083682008368,0.9687197
0.0015128593040847202,0.6820083682008368,0.9668422
0.0015128593040847202,0.7112970711297071,0.9584832
0.00170196671709531,0.7112970711297071,0.95722055
0.00170196671709531,0.7531380753138075,0.9526466
0.0018910741301059002,0.7531380753138075,0.9524367
0.0018910741301059002,0.7907949790794979,0.93000716
0.00208018154311649,0.7907949790794979,0.9247353
0.00208018154311649,0.7949790794979079,0.9215866
0.0022692889561270802,0.7949790794979079,0.9209759
0.0022692889561270802,0.8702928870292888,0.88497716
0.00264750378214826,0.8702928870292888,0.8752614
0.00264750378214826,0.8786610878661087,0.8721309
0.00283661119515885,0.8786610878661087,0.8685197
0.00283661119515885,0.9330543933054394,0.7954813
0.0030257186081694403,0.9330543933054394,0.74668044
0.0030257186081694403,0.9372384937238494,0.7378117
0.0032148260211800304,0.9372384937238494,0.7292589
0.0032148260211800304,0.9623430962343096,0.558834
0.00397125567322239,0.9623430962343096,0.4680138
0.00397125567322239,0.9707112970711297,0.41555217
0.00510590015128593,0.9707112970711297,0.177991
0.00510590015128593,0.9748953974895398,0.16993958
0.00548411497730711,0.9748953974895398,0.16639127
0.00548411497730711,0.9790794979079498,0.13448973
0.0056732223903177,0.9790794979079498,0.12815647
0.0056732223903177,0.9832635983263598,0.11917795
0.007564296520423601,0.9832635983263598,0.04908018
0.007564296520423601,0.9874476987447699,0.048998006
0.014372163388804841,0.9874476987447699,0.0073296516
0.014372163388804841,0.9916317991631799,0.0070014475
0.016830559757942513,0.9916317991631799,0.0053965757
0.016830559757942513,0.99581589958159,0.0052304836
0.02118003025718608,0.99581589958159,0.0035824312
0.02118003025718608,1.0,0.0034951498
0.13029500756429652,1.0,0.00013385773
0.1306732223903177,1.0,0.0001335389
1.0,1.0,3.3870474e-06
