precision,recall,threshold
0.04324226524335082,1.0,3.3870474e-06
0.04325009048136084,1.0,3.4657323e-06
0.0432579185520362,1.0,3.531759e-06
0.043265749456915276,1.0,3.7048073e-06
0.04327358319753757,1.0,3.7448626e-06
0.04328141977544368,1.0,3.7485606e-06
0.04328925919217533,1.0,3.8116243e-06
0.043297101449275364,1.0,3.841094e-06
0.04330494654828773,1.0,3.9095457e-06
0.04331279449075752,1.0,3.988795e-06
0.04332064527823092,1.0,4.1536514e-06
0.04332849891225526,1.0,4.1558187e-06
0.04333635539437897,1.0,4.1572735e-06
0.04334421472615162,1.0,4.1695503e-06
0.04335207690912389,1.0,4.1916815e-06
0.0433599419448476,1.0,4.2069682e-06
0.043367809834875704,1.0,4.2217343e-06
0.04337568058076225,1.0,4.305883e-06
0.043383554184062444,1.0,4.3474124e-06
0.04339143064633261,1.0,4.3788073e-06
0.0433993099691302,1.0,4.414914e-06
0.043407192154013806,1.0,4.442917e-06
0.043415077202543145,1.0,4.4887042e-06
0.04342296511627907,1.0,4.4952544e-06
0.043430855896783575,1.0,4.5129605e-06
0.04343874954561978,1.0,4.5176153e-06
0.04344664606435194,1.0,4.5340166e-06
0.043454545454545454,1.0,4.566545e-06
0.04346244771776687,1.0,4.625294e-06
0.04347035285558385,1.0,4.627844e-06
0.043478260869565216,1.0,4.6516006e-06
0.04348617176128093,1.0,4.689089e-06
0.04349408553230209,1.0,4.7326043e-06
0.043502002184200944,1.0,4.752926e-06
0.043509921718550885,1.0,4.769982e-06
0.043517844136926435,1.0,4.7777166e-06
0.0435257694409033,1.0,4.836363e-06
0.04353369763205829,1.0,4.8485135e-06
0.04354162871196939,1.0,4.866659e-06
0.04354956268221574,1.0,4.877601e-06
0.04355749954437762,1.0,4.880733e-06
0.04356543930003646,1.0,4.8858974e-06
0.04357338195077484,1.0,4.8971583e-06
0.04358132749817651,1.0,4.92104e-06
0.043589275943826375,1.0,4.9261953e-06
0.043597227289310474,1.0,4.938289e-06
0.043605181536216016,1.0,4.9505106e-06
0.043613138686131384,1.0,4.9518517e-06
0.043621098740646104,1.0,4.967039e-06
0.043629061701350856,1.0,4.972541e-06
0.043637027569837505,1.0,4.9946652e-06
0.04364499634769905,1.0,5.000432e-06
0.04365296803652968,1.0,5.017481e-06
0.043660942637924735,1.0,5.019567e-06
0.04366892015348072,1.0,5.029544e-06
0.04367690058479532,1.0,5.0364024e-06
0.043684883933467374,1.0,5.0479384e-06
0.04369287020109689,1.0,5.050462e-06
0.043700859389285064,1.0,5.052634e-06
0.04370885149963424,1.0,5.0689378e-06
0.043716846533747945,1.0,5.071955e-06
0.04372484449323088,1.0,5.0929957e-06
0.04373284537968893,1.0,5.1286056e-06
0.043740849194729134,1.0,5.1418965e-06
0.04374885593995973,1.0,5.161992e-06
0.04375686561699011,1.0,5.1728284e-06
0.04376487822743087,1.0,5.176081e-06
0.04377289377289377,1.0,5.1865013e-06
0.043780912254991755,1.0,5.18804e-06
0.043788933675338954,1.0,5.1980637e-06
0.04379695803555067,1.0,5.198599e-06
0.043804985337243404,1.0,5.212892e-06
0.043813015582034834,1.0,5.280923e-06
0.04382104877154382,1.0,5.289229e-06
0.043829084907390424,1.0,5.302052e-06
0.043837123991195895,1.0,5.30789e-06
0.043845166024582646,1.0,5.3243725e-06
0.04385321100917431,1.0,5.329315e-06
0.043861258946595705,1.0,5.336817e-06
0.043869309838472835,1.0,5.351097e-06
0.0438773636864329,1.0,5.3724452e-06
0.043885420492104296,1.0,5.38828e-06
0.04389348025711662,1.0,5.389945e-06
0.04390154298310066,1.0,5.4260468e-06
0.04390960867168841,1.0,5.4272887e-06
0.043917677324513044,1.0,5.451223e-06
0.04392574894320897,1.0,5.4606353e-06
0.04393382352941176,1.0,5.461354e-06
0.04394190108475823,1.0,5.464631e-06
0.043949981610886354,1.0,5.4774923e-06
0.04395806510943535,1.0,5.4907714e-06
0.04396615158204562,1.0,5.49956e-06
0.04397424103035879,1.0,5.5017945e-06
0.043982333456017667,1.0,5.5073856e-06
0.0439904288606663,1.0,5.519768e-06
0.04399852724594993,1.0,5.5347173e-06
0.04400662861351501,1.0,5.5760574e-06
0.044014732965009205,1.0,5.6039544e-06
0.044022840302081416,1.0,5.649264e-06
0.044030950626381724,1.0,5.6933764e-06
0.04403906393956145,1.0,5.737504e-06
0.04404718024327313,1.0,5.7377615e-06
0.044055299539170506,1.0,5.750273e-06
0.04406342182890855,1.0,5.799154e-06
0.04407154711414346,1.0,5.853763e-06
0.044079675396532646,1.0,5.8549635e-06
0.04408780667773474,1.0,5.8972446e-06
0.044095940959409594,1.0,5.9107747e-06
0.044104078243218305,1.0,5.932573e-06
0.04411221853082318,1.0,5.9335916e-06
0.04412036182388776,1.0,5.9492077e-06
0.04412850812407681,1.0,5.9810245e-06
0.04413665743305632,1.0,5.99899e-06
0.04414480975249353,1.0,5.999116e-06
0.0441529650840569,1.0,6.0145085e-06
0.04416112342941611,1.0,6.026164e-06
0.0441692847902421,1.0,6.028532e-06
0.044177449168207025,1.0,6.0351817e-06
0.044185616564984286,1.0,6.0422767e-06
0.04419378698224852,1.0,6.047229e-06
0.0442019604216756,1.0,6.056382e-06
0.04421013688494266,1.0,6.062097e-06
0.04421831637372803,1.0,6.0860552e-06
0.04422649888971132,1.0,6.1076616e-06
0.04423468443457339,1.0,6.1077026e-06
0.0442428730099963,1.0,6.1138094e-06
0.04425106461766339,1.0,6.117875e-06
0.04425925925925926,1.0,6.131303e-06
0.04426745693646972,1.0,6.1342625e-06
0.04427565765098185,1.0,6.1582127e-06
0.044283861404483975,1.0,6.163365e-06
0.04429206819866568,1.0,6.1651112e-06
0.04430027803521779,1.0,6.167969e-06
0.04430849091583241,1.0,6.1995315e-06
0.04431670684220285,1.0,6.205281e-06
0.044324925816023736,1.0,6.2100403e-06
0.04433314783899091,1.0,6.216938e-06
0.044341372912801484,1.0,6.2174e-06
0.044349601039153835,1.0,6.21947e-06
0.04435783221974759,1.0,6.2231898e-06
0.044366066456283645,1.0,6.2312965e-06
0.04437430375046417,1.0,6.2360104e-06
0.044382544103992574,1.0,6.2479457e-06
0.04439078751857355,1.0,6.2606264e-06
0.04439903399591306,1.0,6.2618265e-06
0.04440728353771832,1.0,6.2711492e-06
0.04441553614569783,1.0,6.2780427e-06
0.04442379182156134,1.0,6.3082184e-06
0.04443205056701989,1.0,6.3320026e-06
0.04444031238378579,1.0,6.340637e-06
0.044448577273572626,1.0,6.3441576e-06
0.04445684523809524,1.0,6.357197e-06
0.044465116279069766,1.0,6.35861e-06
0.04447339039821362,1.0,6.359247e-06
0.044481667597245485,1.0,6.3955436e-06
0.04448994787788533,1.0,6.4019328e-06
0.044498231241854404,1.0,6.411005e-06
0.044506517690875234,1.0,6.4145643e-06
0.044514807226671636,1.0,6.4173055e-06
0.0445230998509687,1.0,6.430465e-06
0.04453139556549283,1.0,6.4443643e-06
