fpr,tpr,threshold
0.0,0.0,inf
0.0,0.005714285714285714,0.9999973344722644
0.0,0.022857142857142857,0.9999952483203998
0.00026021337496747333,0.022857142857142857,0.9999951887918952
0.00026021337496747333,0.08,0.9999876785544696
0.0005204267499349467,0.08,0.9999875348082377
0.0005204267499349467,0.18285714285714286,0.9999652697710864
0.00078064012490242,0.18285714285714286,0.999965058401829
0.00078064012490242,0.4228571428571429,0.9998846738540764
0.0010408534998698933,0.4228571428571429,0.999881287278088
0.0010408534998698933,0.5028571428571429,0.9997945334007152
0.0018214936247723133,0.5028571428571429,0.999761585130901
0.0018214936247723133,0.6285714285714286,0.9995261379124036
0.0020817069997397866,0.6285714285714286,0.999506662592731
0.0020817069997397866,0.7257142857142858,0.99874552602667
0.00234192037470726,0.7257142857142858,0.9987299822252582
0.00234192037470726,0.8342857142857143,0.9973664172102912
0.0026021337496747333,0.8342857142857143,0.9970373856811152
0.0026021337496747333,0.9542857142857143,0.9783656155396876
0.0028623471246422066,0.9542857142857143,0.9776882365732434
0.0028623471246422066,0.9828571428571429,0.9618222857699568
0.0033827738745771533,0.9828571428571429,0.9022924235642968
0.0033827738745771533,0.9885714285714285,0.8808670299099882
0.16081186572989853,0.9885714285714285,0.0445131277334045
0.16081186572989853,0.9942857142857143,0.0444191177816146
0.17928701535258912,0.9942857142857143,0.0364688863315193
0.17928701535258912,1.0,0.0363912179181478
1.0,1.0,2.0589310664879606e-10
