precision,recall,threshold
0.04355400696864112,1.0,2.0589310664879606e-10
0.04356484939009211,1.0,2.8093904245780065e-10
0.04357569721115538,1.0,5.204089369761804e-10
0.043586550435865505,1.0,7.975368017522352e-10
0.04359740906826109,1.0,1.1950488950697608e-09
0.04360827311238475,1.0,2.069176028607634e-09
0.04361914257228315,1.0,2.691578911482917e-09
0.04363001745200698,1.0,8.526037557993289e-09
0.043640897755610975,1.0,1.1495758257979524e-08
0.04365178348715391,1.0,1.23188168045422e-08
0.043662674650698605,1.0,1.3760163729717396e-08
0.04367357125031195,1.0,2.1788087949429805e-08
0.043684473290064904,1.0,2.6214506241297854e-08
0.04369538077403246,1.0,2.706185498972779e-08
0.043706293706293704,1.0,2.76666839753538e-08
0.0437172120909318,1.0,3.062158531277429e-08
0.043728135932033986,1.0,3.2962291824435416e-08
0.04373906523369158,1.0,4.8124026150993486e-08
0.04375,1.0,4.93125829571016e-08
0.04376094023505876,1.0,7.099304229242506e-08
0.04377188594297149,1.0,7.229593304046963e-08
0.043782837127845885,1.0,7.67807786419342e-08
0.04379379379379379,1.0,8.303645672140314e-08
0.04380475594493116,1.0,9.622271714676936e-08
0.043815723585378066,1.0,9.858284909378337e-08
0.0438266967192587,1.0,9.962286672441947e-08
0.043837675350701405,1.0,1.134588691829451e-07
0.043848659483838634,1.0,1.2361144446550538e-07
0.043859649122807015,1.0,1.29831909190727e-07
0.043870644271747306,1.0,1.3872349860981978e-07
0.04388164493480441,1.0,1.415401299599894e-07
0.04389265111612741,1.0,1.632932571513181e-07
0.04390366281986954,1.0,1.6977015445087293e-07
0.043914680050188205,1.0,1.847861165309909e-07
0.04392570281124498,1.0,1.98917478463032e-07
0.043936731107205626,1.0,2.1648826358142613e-07
0.04394776494224008,1.0,2.203881094811887e-07
0.04395880432052248,1.0,2.474829123971984e-07
0.04396984924623116,1.0,2.703358157926181e-07
0.04398089972354863,1.0,2.983275951215231e-07
0.04399195575666164,1.0,3.1079718529064174e-07
0.04400301734976113,1.0,3.333308020569564e-07
0.04401408450704225,1.0,3.367706510213704e-07
0.0440251572327044,1.0,3.506641147741963e-07
0.044036235530951186,1.0,3.539118027786868e-07
0.04404731940599044,1.0,3.7880819550172674e-07
0.04405840886203424,1.0,3.8345713446339314e-07
0.04406950390329892,1.0,4.27090764260778e-07
0.04408060453400504,1.0,4.344621712755114e-07
0.04409171075837742,1.0,5.235478344947621e-07
0.044102822580645164,1.0,5.291830402258453e-07
