fpr,tpr,threshold
0.0,0.0,inf
0.0,0.006688963210702341,1.0
0.0,0.023411371237458192,0.9999895095825196
0.0001808972503617945,0.023411371237458192,0.9999122619628906
0.0001808972503617945,0.03678929765886288,0.9997830986976624
0.000361794500723589,0.03678929765886288,0.9997410178184508
0.000361794500723589,0.04013377926421405,0.9996510744094848
0.0005426917510853835,0.04013377926421405,0.9996272325515748
0.0005426917510853835,0.043478260869565216,0.9995872378349304
0.001085383502170767,0.043478260869565216,0.999306321144104
0.001085383502170767,0.046822742474916385,0.9988355040550232
0.001447178002894356,0.046822742474916385,0.9975324869155884
0.001447178002894356,0.05016722408026756,0.9963968396186828
0.0016280752532561505,0.05016722408026756,0.9959665536880492
0.0016280752532561505,0.05351170568561873,0.9958735108375548
0.001808972503617945,0.05351170568561873,0.9951336979866028
0.001808972503617945,0.06020066889632107,0.9852241277694702
0.002532561505065123,0.06020066889632107,0.952024221420288
0.002532561505065123,0.07023411371237458,0.8517357110977173
0.0027134587554269174,0.07023411371237458,0.845180869102478
0.0027134587554269174,0.07692307692307693,0.7376495599746704
0.002894356005788712,0.07692307692307693,0.6851250529289246
0.002894356005788712,0.08361204013377926,0.5174964666366577
0.0030752532561505066,0.08361204013377926,0.4019903838634491
0.0030752532561505066,0.08695652173913043,0.3938067853450775
0.003256150506512301,0.08695652173913043,0.3531005680561065
0.003256150506512301,0.0903010033444816,0.2829283475875854
0.004341534008683068,0.0903010033444816,0.1579477041959762
0.004341534008683068,0.09364548494983277,0.1541187465190887
0.004884225759768451,0.09364548494983277,0.1270646005868911
0.004884225759768451,0.10033444816053512,0.1213254705071449
0.005065123010130246,0.10033444816053512,0.0900097042322158
0.005065123010130246,0.10367892976588629,0.0880462825298309
0.00560781476121563,0.10367892976588629,0.0786867514252662
0.00560781476121563,0.10702341137123746,0.0737754255533218
0.005788712011577424,0.10702341137123746,0.070195622742176
0.005788712011577424,0.11036789297658862,0.0682053789496421
0.005969609261939218,0.11036789297658862,0.0673132017254829
0.005969609261939218,0.11371237458193979,0.0662174373865127
0.006874095513748191,0.11371237458193979,0.051781091839075
0.006874095513748191,0.12040133779264214,0.047859564423561
0.007597684515195369,0.12040133779264214,0.0436822958290576
0.007597684515195369,0.12374581939799331,0.0389914251863956
0.007778581765557163,0.12374581939799331,0.0386736914515495
0.007778581765557163,0.12709030100334448,0.0386162959039211
0.007959479015918957,0.12709030100334448,0.0373974777758121
0.007959479015918957,0.13043478260869565,0.0372059345245361
0.008140376266280752,0.13043478260869565,0.0367077142000198
0.008140376266280752,0.13377926421404682,0.0366670005023479
0.008502170767004342,0.13377926421404682,0.0344151519238948
0.008502170767004342,0.13712374581939799,0.0338349007070064
0.008683068017366137,0.13712374581939799,0.0325056761503219
0.008683068017366137,0.1505016722408027,0.0317174382507801
0.00886396526772793,0.1505016722408027,0.0317130759358406
0.00886396526772793,0.15384615384615385,0.0315902270376682
0.009768451519536902,0.15384615384615385,0.0288389176130294
0.009768451519536902,0.1605351170568562,0.0275546815246343
0.010130246020260492,0.1605351170568562,0.027409890666604
0.010130246020260492,0.16387959866220736,0.0270591676235198
0.010311143270622287,0.16387959866220736,0.0269876550883054
0.010311143270622287,0.16722408026755853,0.0265651941299438
0.010672937771345875,0.16722408026755853,0.0258335433900356
0.010672937771345875,0.1705685618729097,0.0255069304257631
0.01121562952243126,0.1705685618729097,0.0250714067369699
0.01121562952243126,0.17725752508361203,0.0249300152063369
0.011939218523878437,0.17725752508361203,0.0242444910109043
0.011939218523878437,0.1806020066889632,0.0233544521033763
0.012481910274963821,0.1806020066889632,0.02311840839684
0.012481910274963821,0.18394648829431437,0.0230991877615451
0.012662807525325614,0.18394648829431437,0.0230395495891571
0.012662807525325614,0.18729096989966554,0.0230106748640537
0.013024602026049204,0.18729096989966554,0.0227356292307376
0.013024602026049204,0.20066889632107024,0.022046823054552
0.013205499276410999,0.20066889632107024,0.0218944679945707
