fpr,tpr,threshold
0.0,0.0,inf
0.0,0.005714285714285714,0.9993919134140016
0.0,0.26285714285714284,0.9950119256973268
0.00026021337496747333,0.26285714285714284,0.9948556423187256
0.00026021337496747333,0.52,0.9854529500007628
0.0005204267499349467,0.52,0.9854459762573242
0.0005204267499349467,0.72,0.9665127992630004
0.00078064012490242,0.72,0.9655354619026184
0.00078064012490242,0.8514285714285714,0.9257065057754515
0.0010408534998698933,0.8514285714285714,0.920555293560028
0.0010408534998698933,0.88,0.9019872546195984
0.0013010668748373666,0.88,0.8988977074623108
0.0013010668748373666,0.9028571428571428,0.8592191338539124
0.0018214936247723133,0.9028571428571428,0.8342322111129761
0.0018214936247723133,0.9142857142857143,0.8168277144432068
0.0020817069997397866,0.9142857142857143,0.7996909618377686
0.0020817069997397866,0.9542857142857143,0.7382215857505798
0.00234192037470726,0.9542857142857143,0.7357405424118042
0.00234192037470726,0.96,0.7345825433731079
0.0028623471246422066,0.96,0.7090741991996765
0.0028623471246422066,0.9828571428571429,0.5392231345176697
0.00312256049960968,0.9828571428571429,0.5155417919158936
0.00312256049960968,0.9885714285714285,0.3614959120750427
0.004163413999479573,0.9885714285714285,0.1207082867622375
0.004163413999479573,0.9942857142857143,0.1176750212907791
0.014571948998178506,0.9942857142857143,0.0026158988475799
0.014571948998178506,1.0,0.0025722268037497
0.28727556596409054,1.0,9.085392957786098e-05
0.2877959927140255,1.0,9.080040035769343e-05
0.521727816809784,1.0,4.5527933252742514e-05
0.522248243559719,1.0,4.548423385131173e-05
0.8022378350247202,1.0,2.066303204628639e-05
0.8027582617746553,1.0,2.066039087367244e-05
0.8732760863908405,1.0,1.6446478184661828e-05
0.8737965131407754,1.0,1.6435220459243283e-05
1.0,1.0,3.936051143682562e-06
