mean_predicted_probability,fraction_positive
1.1657247909513998e-05,0.0
1.82221757512621e-05,0.0
2.4774270756251238e-05,0.0
3.314214442261324e-05,0.0
4.4470595843341104e-05,0.0
5.987494000352732e-05,0.0
8.250615717956397e-05,0.0
0.00011901414838562063,0.0
0.00020063802015942724,0.0
0.439479965398775,0.43532338308457713
