dataset_name,model_name,model_family,source_stage,prediction_file,split,auroc,auprc,accuracy,precision,recall,f1,brier_score,specificity,sensitivity,tp,fp,tn,fn,decision_threshold
horizon_12h,cross_modal_attention,custom_deep_multimodal,07_multimodal_models,horizon_12h_cross_modal_attention_test_predictions.csv,test,0.6701863855322543,0.10026682746097307,0.8775104034738557,0.13006756756756757,0.32217573221757323,0.18531889290012032,0.040906992268125504,0.9026096822995462,0.32217573221757323,77,515,4773,162,0.0522578246891498
horizon_12h,late_fusion,custom_deep_multimodal,07_multimodal_models,horizon_12h_late_fusion_test_predictions.csv,test,0.6604339026073085,0.09134241572139432,0.891261081961281,0.12603305785123967,0.25523012552301255,0.16874135546334718,0.043496466502000966,0.9200075642965204,0.25523012552301255,61,423,4865,178,0.1203191801905632
horizon_12h,gated_fusion,custom_deep_multimodal,07_multimodal_models,horizon_12h_gated_fusion_test_predictions.csv,test,0.6505579855550421,0.09008226931553466,0.7993486520716483,0.07766990291262135,0.33472803347280333,0.12608353033884948,0.05230953427610909,0.8203479576399395,0.33472803347280333,80,950,4338,159,0.1700479984283447
horizon_12h,early_fusion,custom_deep_multimodal,07_multimodal_models,horizon_12h_early_fusion_test_predictions.csv,test,0.6363927325783807,0.08273949380241427,0.7602677763705445,0.08166409861325115,0.4435146443514644,0.13793103448275862,0.041387790919241794,0.7745839636913767,0.4435146443514644,106,1192,4096,133,0.0205395594239234
horizon_12h,random_forest,structured_baseline,06_baseline_models,horizon_12h_random_forest_test_predictions.csv,test,0.9987458776166454,0.9801040149288142,0.9980097702189252,0.9830508474576272,0.9707112970711297,0.9768421052631578,0.006747111299767653,0.9992435703479576,0.9707112970711297,232,4,5284,7,0.5
horizon_12h,xgboost,structured_baseline,06_baseline_models,horizon_12h_xgboost_test_predictions.csv,test,0.9986105748232359,0.9613381024854415,0.9952958205174598,0.9311740890688259,0.9623430962343096,0.9465020576131687,0.00443256015334277,0.9967851739788199,0.9623430962343096,230,17,5271,9,0.5
horizon_12h,logistic_regression,structured_baseline,06_baseline_models,horizon_12h_logistic_regression_test_predictions.csv,test,0.853810474809943,0.26520053252056486,0.799529582051746,0.15267785771382894,0.799163179916318,0.2563758389261745,0.1510138500735541,0.7995461422087746,0.799163179916318,191,1060,4228,48,0.5
horizon_24h,late_fusion,custom_deep_multimodal,07_multimodal_models,horizon_24h_late_fusion_test_predictions.csv,test,0.7432690234563771,0.1685280513129824,0.9201095072175212,0.19583333333333333,0.26857142857142857,0.22650602409638554,0.04305054427433962,0.9497788186312777,0.26857142857142857,47,193,3650,128,0.0055524758063256
horizon_24h,cross_modal_attention,custom_deep_multimodal,07_multimodal_models,horizon_24h_cross_modal_attention_test_predictions.csv,test,0.744745548492621,0.16406967660462274,0.931806869089099,0.22033898305084745,0.22285714285714286,0.2215909090909091,0.04323473093645732,0.9640905542544886,0.22285714285714286,39,138,3705,136,0.0037854791153222
horizon_24h,early_fusion,custom_deep_multimodal,07_multimodal_models,horizon_24h_early_fusion_test_predictions.csv,test,0.72587487453998,0.13613857156739795,0.8857640617222499,0.13212435233160622,0.2914285714285714,0.18181818181818182,0.042999595263338235,0.9128285193858965,0.2914285714285714,51,335,3508,124,0.0051959645934402
horizon_24h,gated_fusion,custom_deep_multimodal,07_multimodal_models,horizon_24h_gated_fusion_test_predictions.csv,test,0.6360469871008512,0.07471188364221065,0.9288203086112494,0.08888888888888889,0.06857142857142857,0.07741935483870968,0.04274160705537567,0.9679937548790007,0.06857142857142857,12,123,3720,163,0.0111346114426851
horizon_24h,xgboost_text_augmented,custom_tabular_multimodal,06_baseline_models,horizon_24h_xgboost_text_augmented_test_predictions.csv,test,0.9993591316307944,0.9820605927587593,0.9962667994026879,0.9347826086956522,0.9828571428571429,0.958217270194986,0.003037968653609164,0.9968774395003903,0.9828571428571429,172,12,3831,3,0.4000000059604645
horizon_24h,stacked_xgboost_notes,custom_tabular_multimodal,06_baseline_models,horizon_24h_stacked_xgboost_notes_test_predictions.csv,test,0.9966187130589941,0.9290534404109241,0.9957690393230463,0.9202127659574468,0.9885714285714285,0.953168044077135,0.006897296261111902,0.9960967993754879,0.9885714285714285,173,15,3828,2,0.5
horizon_24h,random_forest,structured_baseline,06_baseline_models,horizon_24h_random_forest_test_predictions.csv,test,0.9987851752722947,0.9753276957588602,0.998755599800896,0.9829545454545454,0.9885714285714285,0.9857549857549858,0.005877692878256219,0.9992193598750976,0.9885714285714285,173,3,3840,2,0.5
horizon_24h,xgboost,structured_baseline,06_baseline_models,horizon_24h_xgboost_test_predictions.csv,test,0.9989621203672725,0.9651500126371816,0.9957690393230463,0.9293478260869565,0.9771428571428571,0.9526462395543176,0.003374086826880818,0.9966172261254228,0.9771428571428571,171,13,3830,4,0.5
horizon_24h,logistic_regression,structured_baseline,06_baseline_models,horizon_24h_logistic_regression_test_predictions.csv,test,0.8970759451321512,0.3392448120802094,0.8307615729218517,0.17997465145754118,0.8114285714285714,0.2946058091286307,0.11688175627568859,0.8316419463960447,0.8114285714285714,142,647,3196,33,0.5
horizon_6h,cross_modal_attention,custom_deep_multimodal,07_multimodal_models,horizon_6h_cross_modal_attention_test_predictions.csv,test,0.7968838482350722,0.277120650397787,0.9205423030719067,0.2807486631016043,0.3511705685618729,0.31203566121842496,0.048719777043576815,0.9513386396526773,0.3511705685618729,105,269,5259,194,0.008085886016488
horizon_6h,early_fusion,custom_deep_multimodal,07_multimodal_models,horizon_6h_early_fusion_test_predictions.csv,test,0.7784876868868248,0.24303238222138607,0.9426806246782221,0.3825503355704698,0.19063545150501673,0.2544642857142857,0.04968441499635142,0.983357452966715,0.19063545150501673,57,92,5436,242,0.0156371761113405
horizon_6h,late_fusion,custom_deep_multimodal,07_multimodal_models,horizon_6h_late_fusion_test_predictions.csv,test,0.7779223073535035,0.22732062133447045,0.9260339797494422,0.28431372549019607,0.2909698996655518,0.28760330578512394,0.05064191392787198,0.960383502170767,0.2909698996655518,87,219,5309,212,0.0062254536896944
horizon_6h,gated_fusion,custom_deep_multimodal,07_multimodal_models,horizon_6h_gated_fusion_test_predictions.csv,test,0.6196326757304862,0.13061811465447737,0.9365024884159945,0.2795031055900621,0.1505016722408027,0.1956521739130435,0.0501017302537533,0.9790159189580319,0.1505016722408027,45,116,5412,254,0.0126309413462877
horizon_6h,random_forest,structured_baseline,06_baseline_models,horizon_6h_random_forest_test_predictions.csv,test,0.9979919800202315,0.9762928060805504,0.9974257765574052,0.9829931972789115,0.9665551839464883,0.9747048903878583,0.0075750417719013296,0.999095513748191,0.9665551839464883,289,5,5523,10,0.5
