fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0033444816053511705,0.9843292520115656
0.0,0.1806020066889632,0.8509274513186277
0.0001808972503617945,0.1806020066889632,0.8501621103279643
0.0001808972503617945,0.30434782608695654,0.8261040638383526
0.000361794500723589,0.30434782608695654,0.825069105027825
0.000361794500723589,0.4280936454849498,0.8086612622224482
0.0005426917510853835,0.4280936454849498,0.8052597447990157
0.0005426917510853835,0.6220735785953178,0.759554945565556
0.000723589001447178,0.6220735785953178,0.75836490226395
0.000723589001447178,0.7658862876254181,0.7309160813262698
0.0009044862518089725,0.7658862876254181,0.7307727657365064
0.0009044862518089725,0.9665551839464883,0.6137733398900306
0.001085383502170767,0.9665551839464883,0.3921952850137892
0.001085383502170767,0.9732441471571907,0.3846206776810191
0.0016280752532561505,0.9732441471571907,0.3257250600255466
0.0016280752532561505,0.979933110367893,0.3139320602227466
0.0034370477568740954,0.979933110367893,0.2605204000726281
0.0034370477568740954,0.9832775919732442,0.2584633228779047
0.004522431259044862,0.9832775919732442,0.2474442015959964
0.004522431259044862,0.9866220735785953,0.2407363783384882
0.06675108538350218,0.9866220735785953,0.1037493579291988
0.06675108538350218,0.9899665551839465,0.103725489147874
0.09026772793053546,0.9899665551839465,0.0939781732069706
0.09026772793053546,0.9933110367892977,0.0939679738242396
0.10781476121562952,0.9933110367892977,0.0878002629307037
0.10781476121562952,0.9966555183946488,0.0877726082998077
0.18523878437047755,0.9966555183946488,0.0710032122149797
0.18523878437047755,1.0,0.0709481669160414
1.0,1.0,0.0029821771438529
